primary_isbn13,ol_author_name,ol_publisher,ol_languages,ol_ebook_access,ol_has_fulltext,ol_public_scan,ol_internet_archive_ids,ol_edition_count,ol_number_of_pages,is_series,series_name,author_total_works,author_birth_date,ol_subjects,ol_first_publish_year
9781338736076,Alan Gratz,"Scholastic, Incorporated",['eng'],no_ebook,False,False,[],4.0,,False,,44,,"[""Children's fiction"", 'nyt:childrens-middle-grade-hardcover=2024-02-25', 'New York Times bestseller']",2024.0
9781974755905,尾田栄一郎,VIZ Media,['eng'],no_ebook,False,False,[],5.0,184.0,True,series:ONE PIECE,100,1 January 1975,"['franchise:ONE PIECE', 'series:ONE PIECE', 'form:manga', 'form:manga volume', 'form:graphic novel', 'genre:adventure', 'genre:comedy drama', 'genre:science fantasy', 'intended public:shōnen', 'universe:ONE PIECE']",2024.0
9780316563840,Michael Connelly,Little Brown & Company,['eng'],no_ebook,False,False,[],3.0,,False,,100,"July 21, 1956",[],2025.0
9781368076746,Serena Valentino,Disney Publishing Worldwide,['eng'],no_ebook,False,False,[],1.0,304.0,False,,67,,[],2025.0
9781338777215,Raina Telgemeier,"Graphix, an imprint of Scholastic",['eng'],no_ebook,False,False,[],2.0,288.0,False,,100,"May 26, 1977",[],2025.0
9781538757987,David Baldacci,"Grand Central Publishing, a division of Hachette Book Group",['eng'],no_ebook,False,False,[],2.0,448.0,False,,100,1960-08-05,['American literature'],2025.0
9781538772775,Ken Follett,Grand Central Publishing,['eng'],no_ebook,False,False,[],3.0,700.0,False,,100,5 June 1949,[],2025.0
9780593800645,Hannah Taylor,"Crown Publishing Group, The",['eng'],no_ebook,False,False,[],1.0,288.0,False,,22,,['Home economics'],2025.0
9780393242133,Robert Macfarlane,W. W. Norton & Company,['eng'],no_ebook,False,False,[],2.0,384.0,False,,34,1976,[],2025.0
9780593229866,Gardiner Harris,Random House,['eng'],no_ebook,False,False,[],2.0,464.0,False,,3,,"['Johnson and Johnson, inc', 'Pharmaceutical industry', 'United States. Food and Drug Administration', 'Regulation of medicines & medical devices']",2025.0
9798217154043,Nicholas Sparks,Random House,['eng'],no_ebook,False,False,[],1.0,346.0,False,,100,31 December 1965,[],2025.0
9780593872079,Elias Weiss Friedman,Random House of Canada,['eng'],no_ebook,False,False,[],1.0,304.0,False,,7,,[],2025.0
