primary_isbn13,nyt_title,nyt_author,nyt_published_date
9781546151210,CAPTAIN UNDERPANTS: THE FIRST EPIC MANGA,Dav Pilkey,2026-06-07
9798217234301,KPOP DEMON HUNTERS: THE MOVIE IN COMICS,"based on the screenplay by Danya Jimenez, Hannah McMechan, Maggie Kang and Chris Appelhans",2026-06-07
9781339001265,TALONS OF POWER,Tui T. Sutherland,2026-06-07
9781974762019,"JUJUTSU KAISEN, VOL. 29",Gege Akutami,2026-06-07
9781607064114,INVINCIBLE COMPENDIUM ONE,Robert Kirkman,2026-06-07
9781607067726,INVINCIBLE COMPENDIUM TWO,Robert Kirkman,2026-06-07
9798888770207,GACHIAKUTA 1,Kei Urana,2026-06-07
9781974710027,"JUJUTSU KAISEN, VOL. 1",Gege Akutami,2026-06-07
9781974758906,"JUJUTSU KAISEN, VOL. 28",Gege Akutami,2026-06-07
9781534306868,INVINCIBLE COMPENDIUM THREE,Robert Kirkman,2026-06-07
9780063203877,WARRIORS: THE PROPHECIES BEGIN,Erin Hunter,2026-06-07
9781338896435,THE SCARLET SHEDDER,Dav Pilkey,2026-06-07
9781974754977,"JUJUTSU KAISEN, VOL. 26",Gege Akutami,2026-06-07
9798217111916,THE AMAZING GENERATION,Jonathan Haidt and Catherine Price,2026-06-07
9781338053807,RESTART,Gordon Korman,2026-06-07
9781665957649,RIVER OF SPIRITS,Shana Targosz,2026-06-07
9781635864342,WHAT CAN I SAY?,Catherine Newman,2026-06-07
9780547577319,A LONG WALK TO WATER,Linda Sue Park,2026-06-07
9781536251265,I AM REBEL,Ross Montgomery,2026-06-07
9780593809891,IMPOSSIBLE CREATURES,Katherine Rundell,2026-06-07
9781250144058,WISH,Barbara O'Connor,2026-06-07
9781250423429,ODDER,Katherine Applegate,2026-06-07
9781665959735,AWAY,Megan E. Freeman,2026-06-07
9781501183065,A WALK IN THE PARK,Kevin Fedarko,2026-06-07
9780385348768,THE DEMON OF UNREST,Erik Larson,2026-06-07
9781982185831,I'M GLAD MY MOM DIED,Jennette McCurdy,2026-06-07
9780399591617,SIGNS,Laura Lynne Jackson,2026-06-07
9780593689004,RAISING HARE,Chloe Dalton,2026-06-07
9780804190114,ON TYRANNY,Timothy Snyder,2026-06-07
9780374533557,"THINKING, FAST AND SLOW",Daniel Kahneman,2026-06-07
9781571313560,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2026-06-07
9780060959470,ALL ABOUT LOVE,bell hooks,2026-06-07
9781641717458,ON THE HIPPIE TRAIL,Rick Steves,2026-06-07
9781984898456,THE ART THIEF,Michael Finkel,2026-06-07
9780593800027,BE READY WHEN THE LUCK HAPPENS,Ina Garten,2026-06-07
9780735213623,BREATH,James Nestor,2026-06-07
9780307742490,THE WAGER,David Grann,2026-06-07
9798217024308,THE FARAWAY INN,Sarah Beth Durst,2026-06-07
9780593904794,"WE'RE A BAD IDEA, RIGHT?",K.L. Walther,2026-06-07
9781728205489,IF HE HAD BEEN WITH ME,Laura Nowlin,2026-06-07
9781534467637,BETTER THAN THE MOVIES,Lynn Painter,2026-06-07
9781101934746,GIRL IN PIECES,Kathleen Glasgow,2026-06-07
9781728276229,IF ONLY I HAD TOLD HER,Laura Nowlin,2026-06-07
9781665947145,NOTHING LIKE THE MOVIES,Lynn Painter,2026-06-07
9780375842207,THE BOOK THIEF,Markus Zusak,2026-06-07
9798217028009,THE OBSESSION,Natasha Preston,2026-06-07
